name,bike_availability
Market at Sansome,13.394439356978516
2nd at Townsend,12.772165048942153
5th St at Folsom St,12.53327495621716
San Jose Diridon Caltrain Station,11.70770675968063
Redwood City Caltrain Station,11.393896190326728
Market at 10th,10.751646795674194
Howard at 2nd,10.627326158387024
Yerba Buena Center of the Arts (3rd @ Howard),10.08658759311318
Mountain View Caltrain Station,10.046715643019894
San Antonio Caltrain Station,9.749861484476025
Market at 4th,9.725174939976599
SJSU 4th at San Carlos,9.68283279637192
Steuart at Market,9.617479120067307
Embarcadero at Folsom,9.591486605949754
Palo Alto Caltrain Station,9.506230633477669
Harry Bridges Plaza (Ferry Building),9.475297256390903
MLK Library,9.454141101147107
Mechanics Plaza (Market at Battery),9.148704110319954
5th S. at E. San Salvador St,8.99314187741106
Post at Kearney,8.95433604892166
Embarcadero at Sansome,8.864457429562297
Temporary Transbay Terminal (Howard at Beale),8.819595972551772
Powell Street BART,8.650231302710178
California Ave Caltrain Station,8.52099279719278
Spear at Folsom,8.495782971824923
Arena Green / SAP Center,8.483521957030785
Civic Center BART (7th at Market),8.406614885801645
Embarcadero at Vallejo,8.279650017442691
,8.252354463220296
2nd at South Park,8.218282510106484
Adobe on Almaden,8.181260388664331
San Jose Civic Center,8.163969034085065
Mountain View City Hall,8.02652315774352
Paseo de San Antonio,8.009085592333435
Townsend at 7th,7.943755001949485
San Antonio Shopping Center,7.8930592834214846
San Francisco Caltrain 2 (330 Townsend),7.876526235866277
San Pedro Square,7.861653772752463
5th at Howard,7.725944470665526
Clay at Battery,7.711918491309424
Commercial at Montgomery,7.7018145533643985
Powell at Post (Union Square),7.657261291580312
Park at Olive,7.656578974369486
South Van Ness at Market,7.646290349059133
Beale at Market,7.611633251934077
Golden Gate at Polk,7.455151751451856
2nd at Folsom,7.448893423243772
Broadway St at Battery St,7.424673938433426
Redwood City Public Library,7.399900738742816
Middlefield Light Rail Station,7.3383267324700965
San Francisco City Hall,7.3112727478125015
Redwood City Medical Center,7.296481984366177
Japantown,7.289623135170615
San Francisco Caltrain (Townsend at 4th),7.284734050193924
San Salvador at 1st,7.1967457292832835
Davis at Jackson,7.16419219798486
Stanford in Redwood City,7.151868736302358
San Mateo County Center,7.0868824266785495
Washington at Kearney,6.912673657425462
SJSU - San Salvador at 9th,6.768881718002913
St James Park,6.717705362089852
Santa Clara County Civic Center,6.594241253680112
Charleston Park/ North Bayshore Area,6.550583817282616
San Jose City Hall,6.435128562927127
Franklin at Maple,6.4201643162641755
Ryland Park,6.40471698416424
Mezes Park,6.208132376328101
Embarcadero at Bryant,6.0506607703515
Grant Avenue at Columbus Avenue,5.991905419043883
University and Emerson,5.916564061522052
Santa Clara at Almaden,5.655237425868568
S. Market st at Park Ave,5.587980977086034
Castro Street and El Camino Real,5.2421204390423215
Cowper at University,5.209173831852412
Cyril Magnin St at Ellis St,4.106027276726792
